ID,Nome,Idade,Sexo,Sobrevivente,Pais e Filhos,Irmãos e Cônjuges,Classe,Passagem,Local de Embarque,Tarifa,Cabine
261,Mr. Thomas Smith,,Masculino,False,0,0,3ª,384461,Queenstown,7.75,
262,Master. Edvin Rojj Felix Asplund,3.0,Masculino,True,2,4,3ª,347077,Southampton,31.3875,
263,Mr. Emil Taussig,52.0,Masculino,False,1,1,1ª,110413,Southampton,79.65,E67
264,Mr. William Harrison,40.0,Masculino,False,0,0,1ª,112059,Southampton,0.0,B94
265,Miss. Delia Henry,,Feminino,False,0,0,3ª,382649,Queenstown,7.75,
266,Mr. David Reeves,36.0,Masculino,False,0,0,2ª,C.A. 17248,Southampton,10.5,
267,Mr. Ernesti Arvid Panula,16.0,Masculino,False,1,4,3ª,3101295,Southampton,39.6875,
268,Mr. Ernst Ulrik Persson,25.0,Masculino,True,0,1,3ª,347083,Southampton,7.775,
269,Mrs. William Thompson (Edith Junkins) Graham,58.0,Feminino,True,1,0,1ª,PC 17582,Southampton,153.4625,C125
270,Miss. Amelia Bissette,35.0,Feminino,True,0,0,1ª,PC 17760,Southampton,135.6333,C99
271,Mr. Alexander Cairns,,Masculino,False,0,0,1ª,113798,Southampton,31.0,
272,Mr. William Henry Tornquist,25.0,Masculino,True,0,0,3ª,LINE,Southampton,0.0,
273,Mrs. (Elizabeth Anne Maidment) Mellinger,41.0,Feminino,True,1,0,2ª,250644,Southampton,19.5,
274,Mr. Charles H Natsch,37.0,Masculino,False,1,0,1ª,PC 17596,Cherbourg,29.7,C118
275,"Miss. Hanora ""Nora"" Healy",,Feminino,True,0,0,3ª,370375,Queenstown,7.75,
276,Miss. Kornelia Theodosia Andrews,63.0,Feminino,True,0,1,1ª,13502,Southampton,77.9583,D7
277,Miss. Augusta Charlotta Lindblom,45.0,Feminino,False,0,0,3ª,347073,Southampton,7.75,
278,"Mr. Francis ""Frank"" Parkes",,Masculino,False,0,0,2ª,239853,Southampton,0.0,
279,Master. Eric Rice,7.0,Masculino,False,1,4,3ª,382652,Queenstown,29.125,
280,Mrs. Stanton (Rosa Hunt) Abbott,35.0,Feminino,True,1,1,3ª,C.A. 2673,Southampton,20.25,
281,Mr. Frank Duane,65.0,Masculino,False,0,0,3ª,336439,Queenstown,7.75,
282,Mr. Nils Johan Goransson Olsson,28.0,Masculino,False,0,0,3ª,347464,Southampton,7.8542,
283,Mr. Alfons de Pelsmaeker,16.0,Masculino,False,0,0,3ª,345778,Southampton,9.5,
284,Mr. Edward Arthur Dorking,19.0,Masculino,True,0,0,3ª,A/5. 10482,Southampton,8.05,
285,Mr. Richard William Smith,,Masculino,False,0,0,1ª,113056,Southampton,26.0,A19
286,Mr. Ivan Stankovic,33.0,Masculino,False,0,0,3ª,349239,Cherbourg,8.6625,
287,Mr. Theodore de Mulder,30.0,Masculino,True,0,0,3ª,345774,Southampton,9.5,
288,Mr. Penko Naidenoff,22.0,Masculino,False,0,0,3ª,349206,Southampton,7.8958,
289,Mr. Masabumi Hosono,42.0,Masculino,True,0,0,2ª,237798,Southampton,13.0,
290,Miss. Kate Connolly,22.0,Feminino,True,0,0,3ª,370373,Queenstown,7.75,
291,"Miss. Ellen ""Nellie"" Barber",26.0,Feminino,True,0,0,1ª,19877,Southampton,78.85,
292,Mrs. Dickinson H (Helen Walton) Bishop,19.0,Feminino,True,0,1,1ª,11967,Cherbourg,91.0792,B49
293,Mr. Rene Jacques Levy,36.0,Masculino,False,0,0,2ª,SC/Paris 2163,Cherbourg,12.875,D
294,Miss. Aloisia Haas,24.0,Feminino,False,0,0,3ª,349236,Southampton,8.85,
295,Mr. Ivan Mineff,24.0,Masculino,False,0,0,3ª,349233,Southampton,7.8958,
296,Mr. Ervin G Lewy,,Masculino,False,0,0,1ª,PC 17612,Cherbourg,27.7208,
297,Mr. Mansour Hanna,23.5,Masculino,False,0,0,3ª,2693,Cherbourg,7.2292,
298,Miss. Helen Loraine Allison,2.0,Feminino,False,2,1,1ª,113781,Southampton,151.55,C22 C26
299,Mr. Adolphe Saalfeld,,Masculino,True,0,0,1ª,19988,Southampton,30.5,C106
300,Mrs. James (Helene DeLaudeniere Chaput) Baxter,50.0,Feminino,True,1,0,1ª,PC 17558,Cherbourg,247.5208,B58 B60
301,"Miss. Anna Katherine ""Annie Kate"" Kelly",,Feminino,True,0,0,3ª,9234,Queenstown,7.75,
302,Mr. Bernard McCoy,,Masculino,True,0,2,3ª,367226,Queenstown,23.25,
303,Mr. William Cahoone Jr Johnson,19.0,Masculino,False,0,0,3ª,LINE,Southampton,0.0,
304,Miss. Nora A Keane,,Feminino,True,0,0,2ª,226593,Queenstown,12.35,E101
305,"Mr. Howard Hugh ""Harry"" Williams",,Masculino,False,0,0,3ª,A/5 2466,Southampton,8.05,
306,Master. Hudson Trevor Allison,0.92,Masculino,True,2,1,1ª,113781,Southampton,151.55,C22 C26
307,Miss. Margaret Fleming,,Feminino,True,0,0,1ª,17421,Cherbourg,110.8833,
308,Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo) Penasco y Castellana,17.0,Feminino,True,0,1,1ª,PC 17758,Cherbourg,108.9,C65
309,Mr. Samuel Abelson,30.0,Masculino,False,0,1,2ª,P/PP 3381,Cherbourg,24.0,
310,Miss. Laura Mabel Francatelli,30.0,Feminino,True,0,0,1ª,PC 17485,Cherbourg,56.9292,E36
311,Miss. Margaret Bechstein Hays,24.0,Feminino,True,0,0,1ª,11767,Cherbourg,83.1583,C54
312,Miss. Emily Borie Ryerson,18.0,Feminino,True,2,2,1ª,PC 17608,Cherbourg,262.375,B57 B59 B63 B66
313,Mrs. William (Anna Sylfven) Lahtinen,26.0,Feminino,False,1,1,2ª,250651,Southampton,26.0,
314,Mr. Ignjac Hendekovic,28.0,Masculino,False,0,0,3ª,349243,Southampton,7.8958,
315,Mr. Benjamin Hart,43.0,Masculino,False,1,1,2ª,F.C.C. 13529,Southampton,26.25,
316,Miss. Helmina Josefina Nilsson,26.0,Feminino,True,0,0,3ª,347470,Southampton,7.8542,
317,Mrs. Sinai (Miriam Sternin) Kantor,24.0,Feminino,True,0,1,2ª,244367,Southampton,26.0,
318,Dr. Ernest Moraweck,54.0,Masculino,False,0,0,2ª,29011,Southampton,14.0,
319,Miss. Mary Natalie Wick,31.0,Feminino,True,2,0,1ª,36928,Southampton,164.8667,C7
320,Mrs. Frederic Oakley (Margaretta Corning Stone) Spedden,40.0,Feminino,True,1,1,1ª,16966,Cherbourg,134.5,E34
321,Mr. Samuel Dennis,22.0,Masculino,False,0,0,3ª,A/5 21172,Southampton,7.25,
322,Mr. Yoto Danoff,27.0,Masculino,False,0,0,3ª,349219,Southampton,7.8958,
323,Miss. Hilda Mary Slayter,30.0,Feminino,True,0,0,2ª,234818,Queenstown,12.35,
324,Mrs. Albert Francis (Sylvia Mae Harbaugh) Caldwell,22.0,Feminino,True,1,1,2ª,248738,Southampton,29.0,
325,Mr. George John Jr Sage,,Masculino,False,2,8,3ª,CA. 2343,Southampton,69.55,
326,Miss. Marie Grice Young,36.0,Feminino,True,0,0,1ª,PC 17760,Cherbourg,135.6333,C32
327,Mr. Johan Hansen Nysveen,61.0,Masculino,False,0,0,3ª,345364,Southampton,6.2375,
328,Mrs. (Ada E Hall) Ball,36.0,Feminino,True,0,0,2ª,28551,Southampton,13.0,D
329,Mrs. Frank John (Emily Alice Brown) Goldsmith,31.0,Feminino,True,1,1,3ª,363291,Southampton,20.525,
330,Miss. Jean Gertrude Hippach,16.0,Feminino,True,1,0,1ª,111361,Cherbourg,57.9792,B18
331,Miss. Agnes McCoy,,Feminino,True,0,2,3ª,367226,Queenstown,23.25,
332,Mr. Austen Partner,45.5,Masculino,False,0,0,1ª,113043,Southampton,28.5,C124
333,Mr. George Edward Graham,38.0,Masculino,False,1,0,1ª,PC 17582,Southampton,153.4625,C91
334,Mr. Leo Edmondus Vander Planke,16.0,Masculino,False,0,2,3ª,345764,Southampton,18.0,
335,Mrs. Henry William (Clara Heinsheimer) Frauenthal,,Feminino,True,0,1,1ª,PC 17611,Southampton,133.65,
336,Mr. Mitto Denkoff,,Masculino,False,0,0,3ª,349225,Southampton,7.8958,
337,Mr. Thomas Clinton Pears,29.0,Masculino,False,0,1,1ª,113776,Southampton,66.6,C2
338,Miss. Elizabeth Margaret Burns,41.0,Feminino,True,0,0,1ª,16966,Cherbourg,134.5,E40
339,Mr. Karl Edwart Dahl,45.0,Masculino,True,0,0,3ª,7598,Southampton,8.05,
340,Mr. Stephen Weart Blackwell,45.0,Masculino,False,0,0,1ª,113784,Southampton,35.5,T
341,Master. Edmond Roger Navratil,2.0,Masculino,True,1,1,2ª,230080,Southampton,26.0,F2
342,Miss. Alice Elizabeth Fortune,24.0,Feminino,True,2,3,1ª,19950,Southampton,263.0,C23 C25 C27
343,Mr. Erik Gustaf Collander,28.0,Masculino,False,0,0,2ª,248740,Southampton,13.0,
344,Mr. Charles Frederick Waddington Sedgwick,25.0,Masculino,False,0,0,2ª,244361,Southampton,13.0,
345,Mr. Stanley Hubert Fox,36.0,Masculino,False,0,0,2ª,229236,Southampton,13.0,
346,"Miss. Amelia ""Mildred"" Brown",24.0,Feminino,True,0,0,2ª,248733,Southampton,13.0,F33
347,Miss. Marion Elsie Smith,40.0,Feminino,True,0,0,2ª,31418,Southampton,13.0,
348,Mrs. Thomas Henry (Mary E Finck) Davison,,Feminino,True,0,1,3ª,386525,Southampton,16.1,
349,"Master. William Loch ""William"" Coutts",3.0,Masculino,True,1,1,3ª,C.A. 37671,Southampton,15.9,
350,Mr. Jovan Dimic,42.0,Masculino,False,0,0,3ª,315088,Southampton,8.6625,
351,Mr. Nils Martin Odahl,23.0,Masculino,False,0,0,3ª,7267,Southampton,9.225,
352,Mr. Fletcher Fellows Williams-Lambert,,Masculino,False,0,0,1ª,113510,Southampton,35.0,C128
353,Mr. Tannous Elias,15.0,Masculino,False,1,1,3ª,2695,Cherbourg,7.2292,
354,Mr. Josef Arnold-Franchi,25.0,Masculino,False,0,1,3ª,349237,Southampton,17.8,
355,Mr. Wazli Yousif,,Masculino,False,0,0,3ª,2647,Cherbourg,7.225,
356,Mr. Leo Peter Vanden Steen,28.0,Masculino,False,0,0,3ª,345783,Southampton,9.5,
357,Miss. Elsie Edith Bowerman,22.0,Feminino,True,1,0,1ª,113505,Southampton,55.0,E33
358,Miss. Annie Clemmer Funk,38.0,Feminino,False,0,0,2ª,237671,Southampton,13.0,
359,Miss. Mary McGovern,,Feminino,True,0,0,3ª,330931,Queenstown,7.8792,
360,"Miss. Helen Mary ""Ellie"" Mockler",,Feminino,True,0,0,3ª,330980,Queenstown,7.8792,
361,Mr. Wilhelm Skoog,40.0,Masculino,False,4,1,3ª,347088,Southampton,27.9,
362,Mr. Sebastiano del Carlo,29.0,Masculino,False,0,1,2ª,SC/PARIS 2167,Cherbourg,27.7208,
363,Mrs. (Catherine David) Barbara,45.0,Feminino,False,1,0,3ª,2691,Cherbourg,14.4542,
364,Mr. Adola Asim,35.0,Masculino,False,0,0,3ª,SOTON/O.Q. 3101310,Southampton,7.05,
365,Mr. Thomas O'Brien,,Masculino,False,0,1,3ª,370365,Queenstown,15.5,
366,Mr. Mauritz Nils Martin Adahl,30.0,Masculino,False,0,0,3ª,C 7076,Southampton,7.25,
367,Mrs. Frank Manley (Anna Sophia Atkinson) Warren,60.0,Feminino,True,0,1,1ª,110813,Cherbourg,75.25,D37
368,Mrs. (Mantoura Boulos) Moussa,,Feminino,True,0,0,3ª,2626,Cherbourg,7.2292,
369,Miss. Annie Jermyn,,Feminino,True,0,0,3ª,14313,Queenstown,7.75,
370,Mme. Leontine Pauline Aubart,24.0,Feminino,True,0,0,1ª,PC 17477,Cherbourg,69.3,B35
371,Mr. George Achilles Harder,25.0,Masculino,True,0,1,1ª,11765,Cherbourg,55.4417,E50
372,Mr. Jakob Alfred Wiklund,18.0,Masculino,False,0,1,3ª,3101267,Southampton,6.4958,
373,Mr. William Thomas Beavan,19.0,Masculino,False,0,0,3ª,323951,Southampton,8.05,
374,Mr. Sante Ringhini,22.0,Masculino,False,0,0,1ª,PC 17760,Cherbourg,135.6333,
375,Miss. Stina Viola Palsson,3.0,Feminino,False,1,3,3ª,349909,Southampton,21.075,
376,Mrs. Edgar Joseph (Leila Saks) Meyer,,Feminino,True,0,1,1ª,PC 17604,Cherbourg,82.1708,
377,Miss. Aurora Adelia Landergren,22.0,Feminino,True,0,0,3ª,C 7077,Southampton,7.25,
378,Mr. Harry Elkins Widener,27.0,Masculino,False,2,0,1ª,113503,Cherbourg,211.5,C82
379,Mr. Tannous Betros,20.0,Masculino,False,0,0,3ª,2648,Cherbourg,4.0125,
380,Mr. Karl Gideon Gustafsson,19.0,Masculino,False,0,0,3ª,347069,Southampton,7.775,
381,Miss. Rosalie Bidois,42.0,Feminino,True,0,0,1ª,PC 17757,Cherbourg,227.525,
382,"Miss. Maria (""Mary"") Nakid",1.0,Feminino,True,2,0,3ª,2653,Cherbourg,15.7417,
383,Mr. Juho Tikkanen,32.0,Masculino,False,0,0,3ª,STON/O 2. 3101293,Southampton,7.925,
384,Mrs. Alexander Oskar (Mary Aline Towner) Holverson,35.0,Feminino,True,0,1,1ª,113789,Southampton,52.0,
385,Mr. Vasil Plotcharsky,,Masculino,False,0,0,3ª,349227,Southampton,7.8958,
386,Mr. Charles Henry Davies,18.0,Masculino,False,0,0,2ª,S.O.C. 14879,Southampton,73.5,
387,Master. Sidney Leonard Goodwin,1.0,Masculino,False,2,5,3ª,CA 2144,Southampton,46.9,
388,Miss. Kate Buss,36.0,Feminino,True,0,0,2ª,27849,Southampton,13.0,
389,Mr. Matthew Sadlier,,Masculino,False,0,0,3ª,367655,Queenstown,7.7292,
390,Miss. Bertha Lehmann,17.0,Feminino,True,0,0,2ª,SC 1748,Cherbourg,12.0,
391,Mr. William Ernest Carter,36.0,Masculino,True,2,1,1ª,113760,Southampton,120.0,B96 B98
392,Mr. Carl Olof Jansson,21.0,Masculino,True,0,0,3ª,350034,Southampton,7.7958,
393,Mr. Johan Birger Gustafsson,28.0,Masculino,False,0,2,3ª,3101277,Southampton,7.925,
394,Miss. Marjorie Newell,23.0,Feminino,True,0,1,1ª,35273,Cherbourg,113.275,D36
395,Mrs. Hjalmar (Agnes Charlotta Bengtsson) Sandstrom,24.0,Feminino,True,2,0,3ª,PP 9549,Southampton,16.7,G6
396,Mr. Erik Johansson,22.0,Masculino,False,0,0,3ª,350052,Southampton,7.7958,
397,Miss. Elina Olsson,31.0,Feminino,False,0,0,3ª,350407,Southampton,7.8542,
398,Mr. Peter David McKane,46.0,Masculino,False,0,0,2ª,28403,Southampton,26.0,
399,Dr. Alfred Pain,23.0,Masculino,False,0,0,2ª,244278,Southampton,10.5,
400,Mrs. William H (Jessie L) Trout,28.0,Feminino,True,0,0,2ª,240929,Southampton,12.65,
401,Mr. Juha Niskanen,39.0,Masculino,True,0,0,3ª,STON/O 2. 3101289,Southampton,7.925,
402,Mr. John Adams,26.0,Masculino,False,0,0,3ª,341826,Southampton,8.05,
403,Miss. Mari Aina Jussila,21.0,Feminino,False,0,1,3ª,4137,Southampton,9.825,
404,Mr. Pekka Pietari Hakkarainen,28.0,Masculino,False,0,1,3ª,STON/O2. 3101279,Southampton,15.85,
405,Miss. Marija Oreskovic,20.0,Feminino,False,0,0,3ª,315096,Southampton,8.6625,
406,Mr. Shadrach Gale,34.0,Masculino,False,0,1,2ª,28664,Southampton,21.0,
407,Mr. Carl/Charles Peter Widegren,51.0,Masculino,False,0,0,3ª,347064,Southampton,7.75,
408,Master. William Rowe Richards,3.0,Masculino,True,1,1,2ª,29106,Southampton,18.75,
409,Mr. Hans Martin Monsen Birkeland,21.0,Masculino,False,0,0,3ª,312992,Southampton,7.775,
410,Miss. Ida Lefebre,,Feminino,False,1,3,3ª,4133,Southampton,25.4667,
411,Mr. Todor Sdycoff,,Masculino,False,0,0,3ª,349222,Southampton,7.8958,
412,Mr. Henry Hart,,Masculino,False,0,0,3ª,394140,Queenstown,6.8583,
413,Miss. Daisy E Minahan,33.0,Feminino,True,0,1,1ª,19928,Queenstown,90.0,C78
414,Mr. Alfred Fleming Cunningham,,Masculino,False,0,0,2ª,239853,Southampton,0.0,
415,Mr. Johan Julian Sundman,44.0,Masculino,True,0,0,3ª,STON/O 2. 3101269,Southampton,7.925,
416,Mrs. Thomas (Annie Louise Rowley) Meek,,Feminino,False,0,0,3ª,343095,Southampton,8.05,
417,Mrs. James Vivian (Lulu Thorne Christian) Drew,34.0,Feminino,True,1,1,2ª,28220,Southampton,32.5,
418,Miss. Lyyli Karoliina Silven,18.0,Feminino,True,2,0,2ª,250652,Southampton,13.0,
419,Mr. William John Matthews,30.0,Masculino,False,0,0,2ª,28228,Southampton,13.0,
420,Miss. Catharina Van Impe,10.0,Feminino,False,2,0,3ª,345773,Southampton,24.15,
421,Mr. Stanio Gheorgheff,,Masculino,False,0,0,3ª,349254,Cherbourg,7.8958,
422,Mr. David Charters,21.0,Masculino,False,0,0,3ª,A/5. 13032,Queenstown,7.7333,
423,Mr. Leo Zimmerman,29.0,Masculino,False,0,0,3ª,315082,Southampton,7.875,
424,Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren) Danbom,28.0,Feminino,False,1,1,3ª,347080,Southampton,14.4,
425,Mr. Viktor Richard Rosblom,18.0,Masculino,False,1,1,3ª,370129,Southampton,20.2125,
426,Mr. Phillippe Wiseman,,Masculino,False,0,0,3ª,A/4. 34244,Southampton,7.25,
427,Mrs. Charles V (Ada Maria Winfield) Clarke,28.0,Feminino,True,0,1,2ª,2003,Southampton,26.0,
428,"Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"") Phillips",19.0,Feminino,True,0,0,2ª,250655,Southampton,26.0,
429,Mr. James Flynn,,Masculino,False,0,0,3ª,364851,Queenstown,7.75,
430,Mr. Berk (Berk Trembisky) Pickard,32.0,Masculino,True,0,0,3ª,SOTON/O.Q. 392078,Southampton,8.05,E10
431,Mr. Mauritz Hakan Bjornstrom-Steffansson,28.0,Masculino,True,0,0,1ª,110564,Southampton,26.55,C52
432,Mrs. Percival (Florence Kate White) Thorneycroft,,Feminino,True,0,1,3ª,376564,Southampton,16.1,
433,Mrs. Charles Alexander (Alice Adelaide Slow) Louch,42.0,Feminino,True,0,1,2ª,SC/AH 3085,Southampton,26.0,
434,Mr. Nikolai Erland Kallio,17.0,Masculino,False,0,0,3ª,STON/O 2. 3101274,Southampton,7.125,
435,Mr. William Baird Silvey,50.0,Masculino,False,0,1,1ª,13507,Southampton,55.9,E44
436,Miss. Lucile Polk Carter,14.0,Feminino,True,2,1,1ª,113760,Southampton,120.0,B96 B98
437,"Miss. Doolina Margaret ""Daisy"" Ford",21.0,Feminino,False,2,2,3ª,W./C. 6608,Southampton,34.375,
438,Mrs. Sidney (Emily Hocking) Richards,24.0,Feminino,True,3,2,2ª,29106,Southampton,18.75,
439,Mr. Mark Fortune,64.0,Masculino,False,4,1,1ª,19950,Southampton,263.0,C23 C25 C27
440,Mr. Johan Henrik Johannesson Kvillner,31.0,Masculino,False,0,0,2ª,C.A. 18723,Southampton,10.5,
441,Mrs. Benjamin (Esther Ada Bloomfield) Hart,45.0,Feminino,True,1,1,2ª,F.C.C. 13529,Southampton,26.25,
442,Mr. Leon Hampe,20.0,Masculino,False,0,0,3ª,345769,Southampton,9.5,
443,Mr. Johan Emil Petterson,25.0,Masculino,False,0,1,3ª,347076,Southampton,7.775,
444,Ms. Encarnacion Reynaldo,28.0,Feminino,True,0,0,2ª,230434,Southampton,13.0,
445,Mr. Bernt Johannesen-Bratthammer,,Masculino,True,0,0,3ª,65306,Southampton,8.1125,
446,Master. Washington Dodge,4.0,Masculino,True,2,0,1ª,33638,Southampton,81.8583,A34
447,Miss. Madeleine Violet Mellinger,13.0,Feminino,True,1,0,2ª,250644,Southampton,19.5,
448,Mr. Frederic Kimber Seward,34.0,Masculino,True,0,0,1ª,113794,Southampton,26.55,
449,Miss. Marie Catherine Baclini,5.0,Feminino,True,1,2,3ª,2666,Cherbourg,19.2583,
450,Major. Arthur Godfrey Peuchen,52.0,Masculino,True,0,0,1ª,113786,Southampton,30.5,C104
451,Mr. Edwy Arthur West,36.0,Masculino,False,2,1,2ª,C.A. 34651,Southampton,27.75,
452,Mr. Ingvald Olai Olsen Hagland,,Masculino,False,0,1,3ª,65303,Southampton,19.9667,
453,Mr. Benjamin Laventall Foreman,30.0,Masculino,False,0,0,1ª,113051,Cherbourg,27.75,C111
454,Mr. Samuel L Goldenberg,49.0,Masculino,True,0,1,1ª,17453,Cherbourg,89.1042,C92
455,Mr. Joseph Peduzzi,,Masculino,False,0,0,3ª,A/5 2817,Southampton,8.05,
456,Mr. Ivan Jalsevac,29.0,Masculino,True,0,0,3ª,349240,Cherbourg,7.8958,
457,Mr. Francis Davis Millet,65.0,Masculino,False,0,0,1ª,13509,Southampton,26.55,E38
458,Mrs. Frederick R (Marion) Kenyon,,Feminino,True,0,1,1ª,17464,Southampton,51.8625,D21
459,Miss. Ellen Toomey,50.0,Feminino,True,0,0,2ª,F.C.C. 13531,Southampton,10.5,
460,Mr. Maurice O'Connor,,Masculino,False,0,0,3ª,371060,Queenstown,7.75,
461,Mr. Harry Anderson,48.0,Masculino,True,0,0,1ª,19952,Southampton,26.55,E12
462,Mr. William Morley,34.0,Masculino,False,0,0,3ª,364506,Southampton,8.05,
463,Mr. Arthur H Gee,47.0,Masculino,False,0,0,1ª,111320,Southampton,38.5,E63
464,Mr. Jacob Christian Milling,48.0,Masculino,False,0,0,2ª,234360,Southampton,13.0,
465,Mr. Simon Maisner,,Masculino,False,0,0,3ª,A/S 2816,Southampton,8.05,
466,Mr. Manuel Estanslas Goncalves,38.0,Masculino,False,0,0,3ª,SOTON/O.Q. 3101306,Southampton,7.05,
467,Mr. William Campbell,,Masculino,False,0,0,2ª,239853,Southampton,0.0,
468,Mr. John Montgomery Smart,56.0,Masculino,False,0,0,1ª,113792,Southampton,26.55,
469,Mr. James Scanlan,,Masculino,False,0,0,3ª,36209,Queenstown,7.725,
470,Miss. Helene Barbara Baclini,0.75,Feminino,True,1,2,3ª,2666,Cherbourg,19.2583,
471,Mr. Arthur Keefe,,Masculino,False,0,0,3ª,323592,Southampton,7.25,
472,Mr. Luka Cacic,38.0,Masculino,False,0,0,3ª,315089,Southampton,8.6625,
473,Mrs. Edwy Arthur (Ada Mary Worth) West,33.0,Feminino,True,2,1,2ª,C.A. 34651,Southampton,27.75,
474,Mrs. Amin S (Marie Marthe Thuillard) Jerwan,23.0,Feminino,True,0,0,2ª,SC/AH Basle 541,Cherbourg,13.7917,D
475,Miss. Ida Sofia Strandberg,22.0,Feminino,False,0,0,3ª,7553,Southampton,9.8375,
476,Mr. George Quincy Clifford,,Masculino,False,0,0,1ª,110465,Southampton,52.0,A14
477,Mr. Peter Henry Renouf,34.0,Masculino,False,0,1,2ª,31027,Southampton,21.0,
478,Mr. Lewis Richard Braund,29.0,Masculino,False,0,1,3ª,3460,Southampton,7.0458,
479,Mr. Nils August Karlsson,22.0,Masculino,False,0,0,3ª,350060,Southampton,7.5208,
480,Miss. Hildur E Hirvonen,2.0,Feminino,True,1,0,3ª,3101298,Southampton,12.2875,
481,Master. Harold Victor Goodwin,9.0,Masculino,False,2,5,3ª,CA 2144,Southampton,46.9,
482,"Mr. Anthony Wood ""Archie"" Frost",,Masculino,False,0,0,2ª,239854,Southampton,0.0,
483,Mr. Richard Henry Rouse,50.0,Masculino,False,0,0,3ª,A/5 3594,Southampton,8.05,
484,Mrs. (Hedwig) Turkula,63.0,Feminino,True,0,0,3ª,4134,Southampton,9.5875,
485,Mr. Dickinson H Bishop,25.0,Masculino,True,0,1,1ª,11967,Cherbourg,91.0792,B49
486,Miss. Jeannie Lefebre,,Feminino,False,1,3,3ª,4133,Southampton,25.4667,
487,Mrs. Frederick Maxfield (Jane Anne Forby) Hoyt,35.0,Feminino,True,0,1,1ª,19943,Southampton,90.0,C93
488,Mr. Edward Austin Kent,58.0,Masculino,False,0,0,1ª,11771,Cherbourg,29.7,B37
489,Mr. Francis William Somerton,30.0,Masculino,False,0,0,3ª,A.5. 18509,Southampton,8.05,
490,"Master. Eden Leslie ""Neville"" Coutts",9.0,Masculino,True,1,1,3ª,C.A. 37671,Southampton,15.9,
491,Mr. Konrad Mathias Reiersen Hagland,,Masculino,False,0,1,3ª,65304,Southampton,19.9667,
492,Mr. Einar Windelov,21.0,Masculino,False,0,0,3ª,SOTON/OQ 3101317,Southampton,7.25,
493,Mr. Harry Markland Molson,55.0,Masculino,False,0,0,1ª,113787,Southampton,30.5,C30
494,Mr. Ramon Artagaveytia,71.0,Masculino,False,0,0,1ª,PC 17609,Cherbourg,49.5042,
495,Mr. Edward Roland Stanley,21.0,Masculino,False,0,0,3ª,A/4 45380,Southampton,8.05,
496,Mr. Gerious Yousseff,,Masculino,False,0,0,3ª,2627,Cherbourg,14.4583,
497,Miss. Elizabeth Mussey Eustis,54.0,Feminino,True,0,1,1ª,36947,Cherbourg,78.2667,D20
498,Mr. Frederick William Shellard,,Masculino,False,0,0,3ª,C.A. 6212,Southampton,15.1,
499,Mrs. Hudson J C (Bessie Waldo Daniels) Allison,25.0,Feminino,False,2,1,1ª,113781,Southampton,151.55,C22 C26
500,Mr. Olof Svensson,24.0,Masculino,False,0,0,3ª,350035,Southampton,7.7958,
501,Mr. Petar Calic,17.0,Masculino,False,0,0,3ª,315086,Southampton,8.6625,
502,Miss. Mary Canavan,21.0,Feminino,False,0,0,3ª,364846,Queenstown,7.75,
503,Miss. Bridget Mary O'Sullivan,,Feminino,False,0,0,3ª,330909,Queenstown,7.6292,
504,Miss. Kristina Sofia Laitinen,37.0,Feminino,False,0,0,3ª,4135,Southampton,9.5875,
505,Miss. Roberta Maioni,16.0,Feminino,True,0,0,1ª,110152,Southampton,86.5,B79
506,Mr. Victor de Satode Penasco y Castellana,18.0,Masculino,False,0,1,1ª,PC 17758,Cherbourg,108.9,C65
507,Mrs. Frederick Charles (Jane Richards) Quick,33.0,Feminino,True,2,0,2ª,26360,Southampton,26.0,
508,"Mr. George (""George Arthur Brayton"") Bradley",,Masculino,True,0,0,1ª,111427,Southampton,26.55,
509,Mr. Henry Margido Olsen,28.0,Masculino,False,0,0,3ª,C 4001,Southampton,22.525,
510,Mr. Fang Lang,26.0,Masculino,True,0,0,3ª,1601,Southampton,56.4958,
511,Mr. Eugene Patrick Daly,29.0,Masculino,True,0,0,3ª,382651,Queenstown,7.75,
512,Mr. James Webber,,Masculino,False,0,0,3ª,SOTON/OQ 3101316,Southampton,8.05,
513,Mr. James Robert McGough,36.0,Masculino,True,0,0,1ª,PC 17473,Southampton,26.2875,E25
514,Mrs. Martin (Elizabeth L. Barrett) Rothschild,54.0,Feminino,True,0,1,1ª,PC 17603,Cherbourg,59.4,
515,Mr. Satio Coleff,24.0,Masculino,False,0,0,3ª,349209,Southampton,7.4958,
516,Mr. William Anderson Walker,47.0,Masculino,False,0,0,1ª,36967,Southampton,34.0208,D46
517,Mrs. (Amelia Milley) Lemore,34.0,Feminino,True,0,0,2ª,C.A. 34260,Southampton,10.5,F33
518,Mr. Patrick Ryan,,Masculino,False,0,0,3ª,371110,Queenstown,24.15,
519,"Mrs. William A (Florence ""Mary"" Agnes Hughes) Angle",36.0,Feminino,True,0,1,2ª,226875,Southampton,26.0,
520,Mr. Stefo Pavlovic,32.0,Masculino,False,0,0,3ª,349242,Southampton,7.8958,
521,Miss. Anne Perreault,30.0,Feminino,True,0,0,1ª,12749,Southampton,93.5,B73
522,Mr. Janko Vovk,22.0,Masculino,False,0,0,3ª,349252,Southampton,7.8958,
